,Unnamed: 0,Company,Job Title,Location,Job Type,Experience level,Salary,Requirment of the company 
0,0,SGS,Data Analyst,UNITED STATES,Full Time,Entry-level,48000.0,"Computer Science,Data quality,Genetics,Mathematics,SAS,Statistics"
1,1,Ocorian,Data Analyst,MAURITIUS,Full Time,Entry-level,48000.0,"Agile,Data management,Finance,Security"
2,2,Cricut,Machine Learning Engineer,UNITED STATES,Full Time,All-Level,90000.0,"Agile,Architecture,AWS,Computer Science,Computer Vision,Deep Learning"
3,3,Bosch Group,Data Analyst,ITALY,Full Time,Entry-level,48000.0,"Engineering,Industrial,Oracle,Power BI,R,R&D"
4,4,Publicis Groupe,Data Engineer,UNITED STATES,Full Time,Mid-level,108000.0,"AWS,Azure,Computer Science,Consulting,Dataflow,Data pipelines"
5,5,ServiceNow,Data Scientist,UNITED STATES,Full Time,Senior-level,184000.0,"Computer Science,Deep Learning,Industrial,Machine Learning,NLP,NumPy"
6,6,Natixis in Portugal,Vendor Management and Data Quality Lead,PORTUGAL,Full Time,Entry-level,39000.0,"Banking,Data quality,Excel,Security"
7,7,NielsenIQ,Business Intelligence,THAILAND,Internship,Entry-level,0.0,"Business Intelligence,Excel,Genetics"
8,8,Western Digital,Data Engineer,UNITED STATES,Internship,Entry-level,0.0,"Big Data,Computer Science,Engineering,Machine Learning,Mathematics,Matlab"
9,9,Palo Alto Networks,Data Engineer,UNITED STATES,Full Time,Senior-level,140000.0,"Agile,APIs,AWS,Azure,Big Data,Computer Science"
10,10,CERN,Data Scientist,SWITZERLAND,Full Time,Entry-level,40000.0,"Computer Science,Data analysis,Deep Learning,Keras,Machine Learning,PhD"
11,11,NielsenIQ,Data Analyst,CANADA,Full Time,All-Level,80000.0,"Business Analytics,Business Intelligence,Data management,Economics,Engineering,Genetics"
12,12,YouGov,BI Developer,INDIA,Full Time,Entry-level,35000.0,"Data Analytics,Excel,Finance,Market research,Power BI,Privacy"
13,13,Bosch Group,SAP Consultant - Product Data Management,PORTUGAL,Full Time,Senior-level,62000.0,"Data management,Engineering,R,Spark"
14,14,Bosch Group,PreMaster Programm - Data Analytics and Visualization,GERMANY,Full Time,Entry-level,39000.0,"BigQuery,Data Analytics,LLMs,Pandas,Python"
15,15,ServiceNow,Data Scientist,UNITED STATES,Full Time,Senior-level,159000.0,"Computer Science,Deep Learning,Industrial,Machine Learning,NLP,NumPy"
16,16,PlayStation Global,Machine Learning Engineer,CANADA,Full Time,Senior-level,97000.0,"AWS,CUDA,Docker,Git,GitHub,GitLab"
17,17,Canva,Data Analyst,AUSTRALIA,Full Time,Senior-level,92000.0,"BigQuery,Excel,Finance,Python,R,Redshift"
18,18,Issuu,BI Analyst,PORTUGAL,Full Time,All-Level,48000.0,"Business Analytics,Business Intelligence,Data warehouse,Looker,Python,R"
