,Company,Job Title,Location,Job Type,Experience level,Salary
1,791,173,210,1,1,48000.0
2,659,173,139,1,1,48000.0
3,253,446,210,1,4,90000.0
4,158,173,116,1,1,48000.0
5,737,191,210,1,3,108000.0
6,821,268,210,1,5,184000.0
7,619,934,169,1,1,39000.0
8,638,108,198,2,1,0.0
9,1012,191,210,2,1,0.0
10,688,191,210,1,5,140000.0
11,172,268,192,1,1,40000.0
12,638,173,73,1,4,80000.0
13,1038,94,112,1,1,35000.0
14,158,616,169,1,5,62000.0
15,158,521,95,1,1,39000.0
16,821,268,210,1,5,159000.0
17,714,446,73,1,5,97000.0
18,183,173,47,1,5,92000.0
19,493,92,169,1,4,48000.0
20,281,268,172,1,5,129000.0
21,730,173,86,1,5,92000.0
22,990,191,112,1,5,115000.0
23,904,207,189,1,1,39000.0
24,158,615,210,1,1,44000.0
25,321,191,172,1,3,73000.0
26,173,268,210,1,1,40000.0
27,752,191,90,1,1,59000.0
28,737,94,210,1,5,106000.0
29,149,268,140,1,5,129000.0
30,750,173,64,1,5,92000.0
31,623,440,172,1,5,105000.0
32,1012,534,137,1,5,55000.0
33,717,191,172,1,5,115000.0
34,625,4,189,1,5,110000.0
35,393,767,73,1,5,140000.0
36,672,268,168,1,5,129000.0
37,158,257,210,1,4,63000.0
38,935,108,172,1,5,49000.0
39,99,108,172,1,5,180000.0
40,990,191,112,1,5,115000.0
41,28,213,95,1,5,62000.0
42,611,191,45,1,3,73000.0
43,420,931,210,1,5,127000.0
44,467,173,172,1,3,60000.0
45,885,268,210,1,5,129000.0
46,281,173,172,1,5,92000.0
47,319,108,172,1,3,45000.0
48,412,191,112,1,5,115000.0
49,670,173,172,1,5,135000.0
50,1010,441,210,1,5,69000.0
51,602,268,172,1,5,129000.0
52,806,460,73,1,5,176000.0
53,197,173,172,1,3,65000.0
54,231,268,209,1,3,40000.0
55,777,230,172,1,5,62000.0
56,158,103,64,1,1,48000.0
57,139,363,209,1,3,51000.0
58,637,108,111,1,5,67000.0
59,344,268,210,1,5,104000.0
60,659,173,139,1,5,92000.0
61,690,274,210,1,5,69000.0
62,377,191,172,1,3,73000.0
63,274,191,112,1,5,115000.0
64,961,191,172,1,5,105000.0
65,785,295,208,1,3,51000.0
66,480,268,172,1,5,166000.0
67,847,108,209,1,5,62000.0
68,797,173,73,1,4,80000.0
69,71,446,210,1,5,131000.0
70,158,319,209,1,5,62000.0
71,615,191,210,1,5,115000.0
72,274,836,210,1,5,69000.0
73,880,268,73,1,5,129000.0
74,529,576,172,1,3,40000.0
75,514,74,47,1,2,65000.0
76,308,409,210,1,1,43000.0
77,738,173,210,1,5,92000.0
78,787,204,172,1,3,45000.0
79,80,302,73,1,2,81000.0
80,264,94,172,1,3,35000.0
81,356,108,76,1,5,69000.0
82,737,173,210,1,5,92000.0
83,698,446,14,1,5,62000.0
84,377,173,172,1,3,65000.0
85,615,191,210,1,5,115000.0
86,356,121,76,1,5,69000.0
87,393,446,73,1,5,140000.0
88,390,173,90,1,3,65000.0
89,990,173,210,1,5,69000.0
90,737,191,210,1,4,96000.0
91,834,671,62,1,1,39000.0
92,404,212,73,1,5,69000.0
93,608,173,209,1,4,56000.0
94,834,141,62,1,1,39000.0
95,260,446,210,1,5,131000.0
96,831,873,210,1,5,62000.0
97,196,191,172,1,5,115000.0
98,985,191,112,1,5,115000.0
99,344,268,210,1,5,130000.0
100,902,311,172,1,2,73000.0
101,934,173,172,1,5,92000.0
102,554,173,73,1,5,131000.0
103,71,36,210,1,1,44000.0
104,528,191,95,1,5,115000.0
105,293,191,129,1,3,73000.0
106,840,228,115,1,4,50000.0
107,286,344,188,1,5,48000.0
108,737,191,75,1,1,59000.0
109,393,810,73,1,5,100000.0
110,434,268,47,1,5,129000.0
111,525,268,215,1,3,60000.0
112,737,191,210,1,1,52000.0
113,904,911,90,1,5,62000.0
114,11,189,209,1,5,135000.0
115,161,191,172,1,3,76000.0
116,80,268,73,1,5,129000.0
117,78,191,172,1,3,73000.0
118,738,173,210,1,5,92000.0
119,717,268,210,1,5,129000.0
120,819,801,79,1,5,62000.0
121,71,108,64,1,4,50000.0
122,149,879,210,1,5,172000.0
123,821,446,210,1,5,119000.0
124,909,108,210,1,5,125000.0
125,776,268,194,1,4,92000.0
126,864,191,148,1,5,116000.0
127,896,212,112,1,4,77000.0
128,611,446,45,1,3,74000.0
129,685,625,168,1,4,70000.0
130,857,191,209,1,5,120000.0
131,885,191,210,1,5,115000.0
