,Requirment
0,63
1,88
2,136
3,192
4,251
5,266
6,16
7,86
8,123
9,261
10,16
11,24
12,15
13,63
14,64
15,97
16,119
17,157
18,220
19,232
20,241
21,242
22,15
23,31
24,63
25,65
26,95
27,87
28,63
29,97
30,157
31,189
32,206
33,212
34,33
35,88
36,120
37,261
38,43
39,120
40,136
41,35
42,63
43,119
44,189
45,192
46,193
47,16
48,13
49,15
50,31
51,35
52,63
53,63
54,84
55,97
56,169
57,189
58,227
59,42
60,43
61,86
62,116
63,119
64,136
65,80
66,120
67,123
68,191
69,232
70,234
71,86
72,119
73,241
74,264
75,36
76,80
77,174
78,222
79,238
80,63
81,97
82,157
83,189
84,206
85,212
86,15
87,49
88,102
89,137
90,138
91,139
92,36
93,120
94,123
95,238
96,241
97,247
98,42
99,43
100,91
101,182
102,238
103,241
104,16
105,90
106,116
107,189
108,192
109,196
110,24
111,84
112,80
113,88
114,90
115,107
116,16
117,17
118,62
119,63
120,85
121,81
122,16
123,31
124,35
125,41
126,94
127,86
128,17
129,13
130,24
131,31
132,62
133,63
134,63
135,81
136,119
137,238
138,256
139,266
140,16
141,46
142,64
143,88
144,90
145,97
146,17
147,24
148,15
149,91
150,98
151,114
152,16
153,24
154,43
155,84
156,90
157,114
158,33
159,41
160,73
161,87
162,119
163,128
164,62
165,182
166,238
167,256
168,269
169,74
170,93
171,119
172,169
173,189
174,238
175,80
176,119
177,120
178,157
179,266
180,13
181,35
182,63
183,84
184,87
185,88
186,4
187,22
188,13
189,63
190,119
191,161
192,35
193,46
194,63
195,64
196,87
197,83
198,16
199,17
200,35
201,36
202,63
203,84
204,4
205,90
206,116
207,119
208,192
209,232
210,43
211,107
212,238
213,256
214,269
215,4
216,43
217,90
218,166
219,182
220,192
221,16
222,35
223,43
224,81
225,90
226,119
227,24
228,85
229,86
230,119
231,166
232,234
233,17
234,24
235,15
236,35
237,36
238,46
239,86
240,120
241,123
242,192
243,184
244,234
245,43
246,119
247,136
248,137
249,222
250,238
251,16
252,13
253,24
254,15
255,35
256,58
257,16
258,84
259,90
260,116
261,166
262,192
263,43
264,84
265,80
266,227
267,234
268,238
269,17
270,24
271,15
272,33
273,35
274,36
275,41
276,63
277,84
278,85
279,86
280,88
281,15
282,37
283,84
284,98
285,100
286,119
287,4
288,33
289,81
290,123
291,182
292,238
293,15
294,97
295,130
296,135
297,174
298,189
299,13
300,15
301,63
302,84
303,87
304,120
305,15
306,31
307,35
308,43
309,63
310,86
311,63
312,92
313,119
314,191
315,248
316,273
317,43
318,63
319,84
320,85
321,88
322,90
323,16
324,123
325,161
326,273
327,16
328,13
329,24
330,43
331,63
332,86
333,35
334,85
335,90
336,119
337,123
338,147
339,16
340,86
341,88
342,120
343,16
344,63
345,90
346,119
347,161
348,192
349,15
350,36
351,43
352,46
353,79
354,87
355,15
356,31
357,65
358,80
359,94
360,83
361,24
362,15
363,35
364,43
365,87
366,88
367,189
368,228
369,53
370,63
371,81
372,116
373,189
374,192
375,33
376,43
377,65
378,116
379,119
380,120
381,43
382,63
383,50
384,90
385,107
386,119
387,24
388,15
389,35
390,58
391,81
392,87
393,16
394,27
395,102
396,180
397,238
398,273
399,16
400,17
401,24
402,35
403,63
404,80
405,24
406,35
407,63
408,94
409,97
410,119
411,53
412,116
413,119
414,123
415,189
416,227
417,13
418,123
419,138
420,161
421,162
422,245
423,123
424,248
425,273
426,85
427,88
428,123
429,248
430,63
431,65
432,66
433,84
434,88
435,119
436,33
437,86
438,204
439,256
440,15
441,31
442,63
443,123
444,129
445,130
446,24
447,31
448,43
449,63
450,94
451,85
452,26
453,15
454,43
455,63
456,80
457,88
458,35
459,63
460,80
461,94
462,107
463,116
464,4
465,17
466,15
467,52
468,63
469,64
470,36
471,43
472,79
473,94
474,83
475,112
476,15
477,35
478,63
479,87
480,98
481,119
482,15
483,35
484,63
485,130
486,263
487,256
488,24
489,35
490,52
491,63
492,81
493,97
494,58
495,65
496,86
497,232
498,238
499,241
500,80
501,90
502,120
503,123
504,227
505,232
506,13
507,31
508,63
509,87
510,119
511,114
512,35
513,65
514,66
515,115
516,123
517,189
518,39
519,63
520,86
521,88
522,90
523,130
524,84
525,248
526,35
527,65
528,66
529,115
530,123
531,189
532,15
533,31
534,32
535,55
536,58
537,97
538,15
539,31
540,36
541,63
542,95
543,96
544,16
545,17
546,13
547,24
548,33
549,41
550,13
551,24
552,87
553,119
554,161
555,209
556,35
557,36
558,85
559,90
560,119
561,123
562,22
563,13
564,24
565,14
566,15
567,31
568,4
569,33
570,119
571,122
572,166
573,182
574,13
575,42
576,119
577,114
578,137
579,162
580,16
581,64
582,50
583,119
584,189
585,235
586,23
587,15
588,87
589,98
590,117
591,119
592,17
593,13
594,15
595,31
596,80
597,87
598,24
599,35
600,119
601,189
602,234
603,238
604,24
605,33
606,63
607,65
608,72
609,102
610,13
611,114
612,130
613,142
614,147
615,161
616,35
617,46
618,63
619,64
620,87
621,83
622,63
623,88
624,119
625,121
626,130
627,189
628,63
629,84
630,110
631,119
632,137
633,138
634,15
635,31
636,86
637,83
638,119
639,114
640,24
641,65
642,85
643,86
644,89
645,189
646,13
647,24
648,160
649,200
650,261
651,256
652,16
653,18
654,15
655,94
656,119
657,231
658,15
659,31
660,63
661,86
662,90
663,97
664,24
665,15
666,80
667,91
668,106
669,117
670,63
671,65
672,66
673,84
674,88
675,119
676,34
677,42
678,58
679,84
680,80
681,81
682,15
683,98
684,102
685,108
686,119
687,173
688,15
689,35
690,43
691,81
692,88
693,90
694,17
695,15
696,33
697,41
698,58
699,63
700,189
701,216
702,238
703,248
704,273
705,43
706,62
707,84
708,80
709,85
710,87
711,17
712,35
713,58
714,62
715,63
716,94
717,16
718,24
719,15
720,35
721,36
722,63
723,39
724,65
725,84
726,80
727,86
728,88
729,17
730,24
731,15
732,35
733,46
734,94
735,63
736,85
737,232
738,248
739,62
740,63
741,84
742,80
743,119
744,114
745,16
746,13
747,24
748,15
749,31
750,46
751,16
752,22
753,35
754,41
755,114
756,147
757,15
758,31
759,35
760,63
761,94
762,117
763,24
764,36
765,46
766,102
767,119
768,130
769,24
770,31
771,35
772,36
773,84
774,94
775,36
776,87
777,90
778,112
779,119
780,114
781,24
782,15
783,43
784,58
785,65
786,90
787,16
788,24
789,166
790,232
791,234
792,241
793,17
794,15
795,42
796,94
797,92
798,87
799,63
800,107
801,174
802,189
803,206
804,248
805,80
806,157
807,13
808,35
809,84
810,88
811,138
812,143
813,16
814,17
815,24
816,15
817,31
818,85
819,15
820,35
821,42
822,147
823,189
824,192
825,15
826,43
827,50
828,80
829,86
830,90
831,63
832,84
833,97
834,99
835,105
836,136
837,24
838,15
839,117
840,119
841,167
842,173
843,35
844,63
845,50
846,74
847,119
848,157
849,17
850,15
851,33
852,41
853,73
854,84
855,13
856,24
857,15
858,31
859,35
860,46
861,63
862,166
863,189
864,184
865,248
866,261
867,17
868,35
869,58
870,62
871,84
872,94
873,119
874,120
875,191
876,248
877,84
878,120
879,191
880,234
881,248
882,266
883,13
884,24
885,15
886,36
887,42
888,63
889,13
890,24
891,15
892,31
893,35
894,46
895,9
896,36
897,81
898,119
899,131
900,174
901,33
902,55
903,84
904,119
905,122
906,189
907,39
908,63
909,88
910,90
911,119
912,136
913,15
914,106
915,117
916,167
917,173
918,180
919,13
920,15
921,31
922,65
923,97
924,104
925,15
926,34
927,102
928,119
929,137
930,189
931,65
932,130
933,142
934,182
935,232
936,234
937,17
938,15
939,80
940,87
941,119
942,182
943,17
944,36
945,46
946,94
947,88
948,91
949,88
950,157
951,17
952,15
953,33
954,41
