,name
1,15Five
2,23andMe
3,24-7 Intouch
4,2K
5,2U
6,360dialog GmbH
7,3Cloud
8,3Pillar Global
9,605
10,66degrees
11,6point6
12,"6sense Insights, Inc."
13,84.51°
14,"8x8, Inc."
15,ABOUT YOU SE & Co. KG
16,AETOS
17,AFRY
18,AKASA Inc.
19,ALTEN
20,AMP Robotics
21,ARCHIMED
22,ASI
23,ASOS
24,ASSYSTEM
25,ATB Financial
26,ATPCO
27,AUTO1 Group
28,AVIV Group
29,Abcam Plc
30,Above Lending
31,Accolite Digital
32,AccorCorpo
33,Acin
34,Acolad
35,ActiveCampaign
36,Ad Hoc
37,Ada
38,Addepar
39,Adevinta
40,Adtalem Global Education
41,Adyen
42,Aetion
43,Affirm
44,Agilisys
45,Agilytic
46,Agoda
47,Agriaku
48,Aiimi Ltd
49,Aimpoint Digital
50,Air Apps
51,Airbnb
52,Aircall
53,Airtable
54,Airwallex
55,Aize AS
56,Alarm.com
57,"Alation, Inc."
58,Alchemy Worx
59,Aledade
60,Algorhythm
61,AllTrails
62,Allegro
63,Allen Integrated Solutions
64,Allucent
65,AlphaSights
66,Altana AI
67,Alter Solutions
68,Altium
69,Altos Labs
70,Alumio
71,Amazon.com
72,Ample Insight Inc.
73,Amplifi Capital
74,Anaplan
75,Anduril Industries
76,Angi
77,Angkas
78,Anvl
79,"AppZen, Inc."
80,Appen
81,Appier
82,Applied Physics
83,Appnovation Technologies
84,AppsFlyer
85,Aptos
86,Aqemia
87,Arcadia
88,ArchiPro
89,Arena
90,Argyle
91,Ariadne
92,Aristotle
93,Arize AI
94,Array
95,Arrive Logistics
96,Arthur Grand Technologies Inc
97,Aryng
98,Asana
99,Ask Media Group
100,Aspirion
101,Assembly
102,Atheneum
103,Athletic Greens
104,Atlassian
105,Atomwise
106,Attractions.io
107,Audigent
108,Audiokinetic
109,Augmedix
110,Aurora Innovation
111,Ava Labs
112,Avaloq
113,Averna
114,Aviso Wealth
115,Axiado
116,Axiom
117,BEES
118,BEON.tech
119,BESIX
120,BEUMER Group
121,Back Market
122,Balsam Brands
123,Baltic Amadeus
124,BandLab Technologies
125,Barbaricum
126,Baresquare
127,Bear Robotics
128,Beautyhaul
129,Behavox
130,Believe
131,Benson Hill
132,Bertoni Solutions
133,BetterSleep
134,BetterUp
135,Beyond Finance
136,BeyondTrust
137,Binance
138,Biogen
139,Bionic Services Ltd
140,BitGo
141,BitMEX
142,Bitpanda
143,Bitquery
144,Bitso
145,Biztory
146,BlaBlaCar
147,BlackSky
148,Blind
149,Block
150,Bloom & Wild Group
151,Blue Orange Digital
152,BlueScope
153,Bluevine
154,Boldr
155,Bolloré Logistics
156,Bondstein Technologies Ltd.
157,Boohoo Group
158,Bosch Group
159,Bounteous
160,Brainlab
161,Branching Minds
162,Braze
163,Brightspeed
164,Builder.ai
165,BusPatrol
166,Business & Decision
167,C. Hoare & Co.
168,C3.ai
169,CB Insights
170,CCRi
171,CD PROJEKT RED
172,CERN
173,CGG
174,CI&T
175,CIMMYT
176,CITECH
177,CLEAR
178,CRI Group
179,CS GROUP
180,Calendly
181,Cameo
182,Canonical Ltd.
183,Canva
184,CapTech Consulting
185,Capco
186,Captivation Software
187,CarGurus
188,Carbon Direct
189,Carbyne
190,Carousell Group
191,Carta
192,Causaly
193,Cedar
194,Celonis
195,Cermati.com
196,Chainalysis
197,Channel Factory
198,ChargePoint
199,Charger Logistics Inc
200,Checkout.com
201,Checkr
202,Chime
203,Cision
204,Citizen
205,Civica UK Ltd
206,Clari
207,Clarifai Inc.
208,Clarity AI
209,Clarkston Consulting
210,ClassPass
211,Clear Street Markets
212,ClearBank
213,Clearcover
214,Cleo AI Ltd
215,CleverConnect
216,CloudSEK
217,CloudWalk
218,CloudZero
219,"Cloudflare, Inc."
220,"CoEnterprise, LLC"
221,Coda Payments
222,Codete
223,Cognism
224,Cohere
225,Cohesity
226,Coinbase
227,Collibra
228,Colliers International EMEA
229,Columbia University
230,ComplyAdvantage
231,Confused.com
232,Coniq
233,Connexity
234,Constructor
235,ConsumerAffairs
236,Contact Energy
237,Contentsquare
238,Control Risks
239,ControlUp
240,ConverseNow.ai
241,Conversica
242,Copper.co
243,Corcentric
244,Cority
245,Coupang
246,Course Hero
247,Cover Genius
248,Cowbell
249,Credera
250,Credible
251,Creditas
252,Cresta
253,Cricut
254,Cruise LLC
255,Crunchyroll Inc.
256,Cube RM
257,Cuberg
258,Cubic Telecom
259,Culture Amp
260,Curated
261,Current
262,CybelAngel
263,CyberCube
264,Cyberlogic
265,DAZN
266,Dailymotion
267,Dandy
268,Dark Wolf Solutions
269,Dashlane
270,Data Science Group
271,Data Wow
272,"DataCamp, Inc."
273,DataStax
274,Databricks
275,Datadog
276,Datalogue GmbH
277,Dealfront
278,Decision Foundry
279,Deep6.ai
280,DeepIntent
281,DeepL
282,DeepMind
283,Deezer
284,Definitive Logic
285,Deliveroo
286,Deloitte
287,Delta Solutions & Strategies
288,"Demandbase, Inc."
289,Dentons
290,Descript
291,Deutsche Telekom IT Solutions
292,Deutsche Telekom IT Solutions Slovakia
293,Devbridge
294,Dexterity
295,DiDi Labs
296,Digital Uncut
297,DigitalOcean
298,DigitalOnUs
299,Diligent Corporation
